Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,Article_ID
18,18,Małgorzata Anna Foryś-Nogala,https://orcid.org/0000-0001-9152-1650,https://doi.org/10.5709/acp-0340-1,Cognitive Aptitudes and Processing of L2 Grammar: Exploring the Role of Rule Inferencing Skills and Working Memory,2021-12,Advances in Cognitive Psychology,Małgorzata_Anna_Foryś-Nogala_1,10-5709_acp-0340-1
61,61,Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1016/j.jbspin.2021.105298,Cognitive Impairment in Patients with Rheumatoid Arthritis: A Systematic Review and Meta-analysis,2021-10,Joint Bone Spine,Daniel_Pankowski_3,10-1016_j-jbspin-2021-105298
117,117,Kinga Wytrychiewicz,https://orcid.org/0000-0002-8236-4363,https://doi.org/10.1016/j.jbspin.2021.105298,Cognitive Impairment in Patients with Rheumatoid Arthritis: A Systematic Review and Meta-analysis,2021-10,Joint Bone Spine,Kinga_Wytrychiewicz_1,10-1016_j-jbspin-2021-105298
61,61,Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1016/j.jbspin.2021.105298,Cognitive Impairment in Patients with Rheumatoid Arthritis: A Systematic Review and Meta-analysis,2021-10,Joint Bone Spine,Daniel_Pankowski_3,10-1016_j-jbspin-2021-105298
117,117,Kinga Wytrychiewicz,https://orcid.org/0000-0002-8236-4363,https://doi.org/10.1016/j.jbspin.2021.105298,Cognitive Impairment in Patients with Rheumatoid Arthritis: A Systematic Review and Meta-analysis,2021-10,Joint Bone Spine,Kinga_Wytrychiewicz_1,10-1016_j-jbspin-2021-105298
68,68,Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1037/tra0000676,Commentary on COVID-19 situation in Poland: Practical and empirical evaluation of current state.,2020-07,"Psychological Trauma: Theory, Research, Practice, and Policy",Daniel_Pankowski_10,10-1037_tra0000676
120,120,Kinga Wytrychiewicz,https://orcid.org/0000-0002-8236-4363,https://doi.org/10.1037/tra0000676,Commentary on COVID-19 situation in Poland: Practical and empirical evaluation of current state.,2020-07,"Psychological Trauma: Theory, Research, Practice, and Policy",Kinga_Wytrychiewicz_4,10-1037_tra0000676
68,68,Daniel Pankowski,https://orcid.org/0000-0001-7667-5803,https://doi.org/10.1037/tra0000676,Commentary on COVID-19 situation in Poland: Practical and empirical evaluation of current state.,2020-07,"Psychological Trauma: Theory, Research, Practice, and Policy",Daniel_Pankowski_10,10-1037_tra0000676
120,120,Kinga Wytrychiewicz,https://orcid.org/0000-0002-8236-4363,https://doi.org/10.1037/tra0000676,Commentary on COVID-19 situation in Poland: Practical and empirical evaluation of current state.,2020-07,"Psychological Trauma: Theory, Research, Practice, and Policy",Kinga_Wytrychiewicz_4,10-1037_tra0000676
80,80,Mieczysław Plopa,https://orcid.org/0000-0002-5278-149X,https://doi.org/10.1037/a0040320,"Bullying at work, personality and subjective well-being",2017,Journal of Occupational Health Psychology,Mieczysław_Plopa_4,10-1037_a0040320
2,2,Rafał Aleksandrowicz,http://orcid.org/0000-0003-4895-5415,https://doi.org/10.14632/nis.2019.69.35,Global and Polisensoric Strengthening of Primary School Students in Initial Classes,2019-11-07,Nauczyciel i Szkoła,Rafał_Aleksandrowicz_3,10-14632_nis-2019-69-35
8,8,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2969,Wielokulturowość nowym wyzwaniem etycznym w pracy polskich psychologów szkolnych i akademickich,2019-06-30,Psychologia wychowawcza,Adam_Anczyk_6,10-5604_01-3001-0013-2969
9,9,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.5604/01.3001.0013.2968,Wielokulturowość w pracy psychologa: etyka i praktyka w kontekście diagnozy klinicznej i pracy terapeutycznej,2019-06-30,Psychologia wychowawcza,Adam_Anczyk_7,10-5604_01-3001-0013-2968
14,14,Adam Anczyk,https://orcid.org/0000-0001-6906-3104,https://doi.org/10.1558/pome.33300,Women of power: The image of the witch and feminist movements in Poland,2017,Pomegranate,Adam_Anczyk_12,10-1558_pome-33300
38,38,Agnieszka Krawczyk,https://orcid.org/0000-0003-3855-4490,https://doi.org/10.17399/hw.2017.163809,Location of Pain Control and Fatigue in Oncological Patients at Various Stages of Treatment.,2017,Horizons of Education,Agnieszka_Krawczyk_1,10-17399_hw-2017-163809
39,39,Krzysztof Kwapis,https://orcid.org/0000-0002-0359-6386,https://doi.org/10.24425/ppb.2021.137890,The Identity Dynamics Questionnaire (IDQ): Operationalization and Verification of the Identity Dynamics Model,2021,Polish Psychological Bulletin,Krzysztof_Kwapis_1,10-24425_ppb-2021-137890
41,41,Krzysztof Kwapis,https://orcid.org/0000-0002-0359-6386,https://doi.org/10.12740/pp/onlinefirst/139887,Parental attitudes and intensification of borderline personality traits: the mediational role of self-control and identity integration,2021-10-04,Psychiatria Polska,Krzysztof_Kwapis_3,10-12740_pp_onlinefirst_139887
49,49,Jacek Prusak,https://orcid.org/0000-0002-3204-2251,https://doi.org/10.12740/pp/onlinefirst/139887,Parental attitudes and intensification of borderline personality traits: the mediational role of self-control and identity integration,2021-10-04,Psychiatria Polska,Jacek_Prusak_1,10-12740_pp_onlinefirst_139887
41,41,Krzysztof Kwapis,https://orcid.org/0000-0002-0359-6386,https://doi.org/10.12740/pp/onlinefirst/139887,Parental attitudes and intensification of borderline personality traits: the mediational role of self-control and identity integration,2021-10-04,Psychiatria Polska,Krzysztof_Kwapis_3,10-12740_pp_onlinefirst_139887
